Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
24	0.9	29.09375	26.1770833333	7.1054273576e-15
25	0.9	28.5833333333	25.71875	0.0
26	0.9	28.9166666667	26.0208333333	7.1054273576e-15
27	0.9	28.8333333333	25.9479166667	7.1054273576e-15
28	0.9	28.8854166667	25.9895833333	7.1054273576e-15
29	0.9	29.21875	26.2916666667	7.1054273576e-15
30	0.9	28.8125	25.9270833333	7.1054273576e-15
31	0.9	28.6145833333	25.75	0.0
32	0.9	28.6145833333	25.75	0.0
33	0.9	28.78125	25.8958333333	7.1054273576e-15
34	0.9	28.5625	25.6979166667	7.1054273576e-15
35	0.9	28.3125	25.4791666667	7.1054273576e-15
36	0.9	28.09375	25.28125	0.0
37	0.9	28.1458333333	25.3229166667	7.1054273576e-15
38	0.9	28.4375	25.59375	0.0
39	0.9	28.4166666667	25.5729166667	7.1054273576e-15
40	0.9	28.4270833333	25.5833333333	7.1054273576e-15
41	0.9	28.4270833333	25.5833333333	7.1054273576e-15
42	0.9	28.6458333333	25.78125	0.0
43	0.9	28.0729166667	25.2604166667	7.1054273576e-15
44	0.9	28.78125	25.8958333333	7.1054273576e-15
45	0.9	27.96875	25.1666666667	7.1054273576e-15
46	0.9	29.5104166667	26.5520833333	7.1054273576e-15
47	0.9	28.6770833333	25.8020833333	7.1054273576e-15
48	0.9	28.78125	25.8958333333	7.1054273576e-15
49	0.9	28.1041666667	25.2916666667	7.1054273576e-15
50	0.9	28.5208333333	25.6666666667	7.1054273576e-15
51	0.9	27.75	24.96875	0.0
52	0.9	28.59375	25.7291666667	7.1054273576e-15
53	0.9	28.4375	25.59375	0.0
54	0.9	29.4895833333	26.53125	0.0
55	0.9	28.4166666667	25.5729166667	7.1054273576e-15
56	0.9	29.3229166667	26.3854166667	7.1054273576e-15
57	0.9	28.2291666667	25.40625	0.0
58	0.9	28.6145833333	25.75	0.0
59	0.9	28.0729166667	25.2604166667	7.1054273576e-15
60	0.9	28.96875	26.0625	0.0
61	0.9	28.1458333333	25.3229166667	7.1054273576e-15
62	0.9	28.53125	25.6770833333	7.1054273576e-15
63	0.9	29.1354166667	26.21875	0.0
64	0.9	28.4583333333	25.6041666667	7.1054273576e-15
65	0.9	28.8333333333	25.9479166667	7.1054273576e-15
66	0.9	28.7395833333	25.8645833333	7.1054273576e-15
67	0.9	28.8020833333	25.9166666667	7.1054273576e-15
68	0.9	28.7291666667	25.8541666667	7.1054273576e-15
69	0.9	28.5833333333	25.71875	0.0
70	0.9	28.5416666667	25.6875	0.0
71	0.9	28.5416666667	25.6875	0.0
72	0.9	28.5729166667	25.7083333333	7.1054273576e-15
73	0.9	28.5520833333	25.6875	0.0
74	0.9	27.5208333333	24.7604166667	7.1054273576e-15
75	0.9	29.1041666667	26.1875	0.0
76	0.9	28.0625	25.25	0.0
77	0.9	28.9375	26.0416666667	7.1054273576e-15
78	0.9	29.3854166667	26.4375	0.0
79	0.9	28.0729166667	25.2604166667	7.1054273576e-15
80	0.9	28.5104166667	25.65625	0.0
81	0.9	28.65625	25.78125	0.0
82	0.9	28.8541666667	25.96875	0.0
83	0.9	27.90625	25.1145833333	7.1054273576e-15
84	0.9	28.3645833333	25.5208333333	7.1054273576e-15
85	0.9	29.3125	26.375	0.0
86	0.9	28.8541666667	25.96875	0.0
87	0.9	28.375	25.53125	0.0
88	0.9	29.0416666667	26.1354166667	7.1054273576e-15
89	0.9	28.5208333333	25.6666666667	7.1054273576e-15
90	0.9	28.4895833333	25.6354166667	7.1054273576e-15
91	0.9	28.59375	25.7291666667	7.1054273576e-15
92	0.9	28.5625	25.6979166667	7.1054273576e-15
93	0.9	28.7708333333	25.8854166667	7.1054273576e-15
94	0.9	29.0520833333	26.1458333333	7.1054273576e-15
95	0.9	27.8854166667	25.09375	0.0
96	0.9	28.1458333333	25.3229166667	7.1054273576e-15
97	0.9	27.875	25.0833333333	7.1054273576e-15
98	0.9	28.34375	25.5	0.0
99	0.9	28.6041666667	25.7395833333	7.1054273576e-15
100	0.9	28.1041666667	25.2916666667	7.1054273576e-15
1	0.95	28.53125	27.1041666667	7.1054273576e-15
2	0.95	28.84375	27.3958333333	7.1054273576e-15
3	0.95	27.7604166667	26.3645833333	7.1054273576e-15
4	0.95	28.0833333333	26.6770833333	7.1054273576e-15
5	0.95	28.59375	27.15625	0.0
6	0.95	27.7395833333	26.34375	0.0
7	0.95	28.15625	26.7395833333	7.1054273576e-15
8	0.95	29.0729166667	27.6145833333	7.1054273576e-15
9	0.95	27.4375	26.0625	0.0
10	0.95	28.4895833333	27.0625	0.0
11	0.95	28.8541666667	27.40625	0.0
12	0.95	28.6458333333	27.2083333333	7.1054273576e-15
13	0.95	28.125	26.71875	0.0
14	0.95	28.53125	27.1041666667	7.1054273576e-15
15	0.95	29.4375	27.9583333333	7.1054273576e-15
16	0.95	29.0104166667	27.5520833333	7.1054273576e-15
17	0.95	27.9895833333	26.5833333333	7.1054273576e-15
18	0.95	28.75	27.3125	0.0
19	0.95	28.4270833333	27.0	0.0
20	0.95	27.9791666667	26.5729166667	7.1054273576e-15
21	0.95	28.6875	27.25	0.0
22	0.95	28.90625	27.4583333333	7.1054273576e-15
23	0.95	28.5104166667	27.0833333333	7.1054273576e-15
24	0.95	29.09375	27.6354166667	7.1054273576e-15
25	0.95	28.5833333333	27.1458333333	7.1054273576e-15
26	0.95	28.9166666667	27.46875	0.0
27	0.95	28.8333333333	27.3854166667	7.1054273576e-15
28	0.95	28.8854166667	27.4375	0.0
29	0.95	29.21875	27.75	0.0
30	0.95	28.8125	27.3645833333	7.1054273576e-15
31	0.95	28.6145833333	27.1770833333	7.1054273576e-15
32	0.95	28.6145833333	27.1770833333	7.1054273576e-15
33	0.95	28.78125	27.3333333333	7.1054273576e-15
34	0.95	28.5625	27.125	0.0
35	0.95	28.3125	26.8958333333	7.1054273576e-15
