"Salix" "Rgaller" "cooccur" "interact" "salix_ID" "galler_ID" "post.mean" "post.sd"
"250" "lapponum x glauca?" "Okriec" 0 0 31 71 0.062469330986797 0.000543414899234718
"251" "lapponum x glauca" "Okriec" 0 0 30 71 0.062469330986797 0.000543414899234718
"252" "aurita x caprea" "Okriec" 0 0 7 71 0.062469330986797 0.000543414899234718
"253" "starkeana" "Okriec" 0 0 47 71 0.062469330986797 0.000543414899234718
"254" "hastata x phylicifolia" "Okriec" 0 0 25 71 0.062469330986797 0.000543414899234718
"255" "lapponum x phylicifolia" "Okriec" 0 0 32 71 0.062469330986797 0.000543414899234718
"256" "acutifolia" "Okriec" 0 0 1 71 0.062469330986797 0.000543414899234718
"257" "bicolor" "Okriec" 0 0 8 71 0.062469330986797 0.000543414899234718
"258" "polaris" "Okriec" 0 0 40 71 0.062469330986797 0.000543414899234718
"259" "cinerea x myrsinifolia" "Okriec" 0 0 15 71 0.062469330986797 0.000543414899234718
"260" "fragilis x pentandra" "Okriec" 0 0 20 71 0.062469330986797 0.000543414899234718
"261" "elaeagnos" "Onigri" 1 0 17 78 0.0618950360027647 0.00053379613159122
"262" "appendiculata" "Onigri" 3 0 5 78 0.0607775518668684 0.000515308394815073
"263" "myrsinifolia" "Onigri" 15 15 34 78 1 0
"264" "foetida" "Onigri" 4 0 18 78 0.0602338061390043 0.000506422251976345
"265" "hastata" "Onigri" 7 0 24 78 0.05865941852825 0.000481099202799104
"266" "daphnoides" "Onigri" 2 0 16 78 0.0613312040821622 0.000524430221890415
"267" "helvetica" "Onigri" 1 0 26 78 0.0618950360027647 0.00053379613159122
"268" "glaucosericea" "Onigri" 1 0 23 78 0.0618950360027647 0.00053379613159122
"269" "cinerea" "Onigri" 0 0 13 78 0.062469330986797 0.000543414899234718
"270" "purpurea" "Onigri" 2 0 41 78 0.0613312040821622 0.000524430221890415
"271" "alba" "Onigri" 0 0 2 78 0.062469330986797 0.000543414899234718
"272" "fragilis" "Onigri" 0 0 19 78 0.062469330986797 0.000543414899234718
"273" "repens" "Onigri" 0 0 42 78 0.062469330986797 0.000543414899234718
"274" "lapponum" "Onigri" 0 0 29 78 0.062469330986797 0.000543414899234718
"275" "myrsinites" "Onigri" 0 0 35 78 0.062469330986797 0.000543414899234718
"276" "phylicifolia" "Onigri" 1 0 38 78 0.0618950360027647 0.00053379613159122
"277" "glauca" "Onigri" 2 0 22 78 0.0613312040821622 0.000524430221890415
"278" "caprea" "Onigri" 2 0 11 78 0.0613312040821622 0.000524430221890415
"279" "mielichhoferi" "Onigri" 7 7 33 78 1 0
"280" "waldsteiniana" "Onigri" 4 0 52 78 0.0602338061390043 0.000506422251976345
"281" "pentandra" "Onigri" 0 0 37 78 0.062469330986797 0.000543414899234718
"282" "breviserrata" "Onigri" 0 0 10 78 0.062469330986797 0.000543414899234718
"283" "reticulata" "Onigri" 1 0 43 78 0.0618950360027647 0.00053379613159122
"284" "retusa" "Onigri" 2 0 44 78 0.0613312040821622 0.000524430221890415
"285" "aurita" "Onigri" 0 0 6 78 0.062469330986797 0.000543414899234718
"286" "triandra" "Onigri" 0 0 48 78 0.062469330986797 0.000543414899234718
"287" "lanata" "Onigri" 1 0 28 78 0.0618950360027647 0.00053379613159122
"288" "herbacea" "Onigri" 0 0 27 78 0.062469330986797 0.000543414899234718
"289" "borealis" "Onigri" 0 0 9 78 0.062469330986797 0.000543414899234718
"290" "myrtilloides" "Onigri" 0 0 36 78 0.062469330986797 0.000543414899234718
"291" "viminalis" "Onigri" 0 0 49 78 0.062469330986797 0.000543414899234718
"292" "glabra" "Onigri" 0 0 21 78 0.062469330986797 0.000543414899234718
"293" "apennina" "Onigri" 0 0 4 78 0.062469330986797 0.000543414899234718
"294" "rubens" "Onigri" 0 0 46 78 0.062469330986797 0.000543414899234718
"295" "rosmarinifolia" "Onigri" 0 0 45 78 0.062469330986797 0.000543414899234718
"296" "caprea x appendiculata" "Onigri" 0 0 12 78 0.062469330986797 0.000543414899234718
"297" "cinerea oleifolia" "Onigri" 0 0 14 78 0.062469330986797 0.000543414899234718
"298" "viminalis x caprea" "Onigri" 0 0 51 78 0.062469330986797 0.000543414899234718
"299" "viminalis x ?" "Onigri" 0 0 50 78 0.062469330986797 0.000543414899234718
"300" "alpina?" "Onigri" 0 0 3 78 0.062469330986797 0.000543414899234718
"301" "phylicifolia x caprea ?" "Onigri" 0 0 39 78 0.062469330986797 0.000543414899234718
"302" "lapponum x glauca?" "Onigri" 0 0 31 78 0.062469330986797 0.000543414899234718
"303" "lapponum x glauca" "Onigri" 0 0 30 78 0.062469330986797 0.000543414899234718
"304" "aurita x caprea" "Onigri" 0 0 7 78 0.062469330986797 0.000543414899234718
"305" "starkeana" "Onigri" 0 0 47 78 0.062469330986797 0.000543414899234718
"306" "hastata x phylicifolia" "Onigri" 0 0 25 78 0.062469330986797 0.000543414899234718
"307" "lapponum x phylicifolia" "Onigri" 0 0 32 78 0.062469330986797 0.000543414899234718
"308" "acutifolia" "Onigri" 0 0 1 78 0.062469330986797 0.000543414899234718
"309" "bicolor" "Onigri" 1 1 8 78 1 0
"310" "polaris" "Onigri" 0 0 40 78 0.062469330986797 0.000543414899234718
"311" "cinerea x myrsinifolia" "Onigri" 0 0 15 78 0.062469330986797 0.000543414899234718
"312" "fragilis x pentandra" "Onigri" 0 0 20 78 0.062469330986797 0.000543414899234718
"313" "elaeagnos" "Ofoeti" 2 0 17 64 0.0613312040821622 0.000524430221890415
"314" "appendiculata" "Ofoeti" 6 0 5 64 0.0591749893015121 0.000489325195806117
"315" "myrsinifolia" "Ofoeti" 8 0 34 64 0.058152754128857 0.000473078701577087
"316" "foetida" "Ofoeti" 16 16 18 64 1 0
"317" "hastata" "Ofoeti" 8 0 24 64 0.058152754128857 0.000473078701577087
"318" "daphnoides" "Ofoeti" 1 0 16 64 0.0618950360027647 0.00053379613159122
"319" "helvetica" "Ofoeti" 3 0 26 64 0.0607775518668684 0.000515308394815073
"320" "glaucosericea" "Ofoeti" 0 0 23 64 0.062469330986797 0.000543414899234718
"321" "cinerea" "Ofoeti" 0 0 13 64 0.062469330986797 0.000543414899234718
"322" "purpurea" "Ofoeti" 4 0 41 64 0.0602338061390043 0.000506422251976345
