,Rgaller,Rpara,cooccur,interact
600,Emyrsi,Ctrifa,0,0
601,Ogalla,Ctrifa,0,0
602,Hischn,Ctrifa,0,0
603,Ehasta,Ctrifa,1,0
604,Egemmf,Ctrifa,0,0
605,Omonti,Ctrifa,0,0
606,Eelaea,Ctrifa,0,0
607,Hcarin,Ctrifa,2,2
608,Egemmh,Ctrifa,2,0
609,Hplicg,Ctrifa,0,0
610,Omacul,Ctrifa,0,0
611,Hspirh,Ctrifa,0,0
612,Obrevi,Ctrifa,0,0
613,Oretic,Ctrifa,0,0
614,Oretus,Ctrifa,0,0
615,Enigri,Ctrifa,0,0
616,Emucro,Ctrifa,0,0
617,Ovesic,Ctrifa,0,0
618,Oviril,Ctrifa,0,0
619,Opedun,Ctrifa,0,0
620,Otrian,Ctrifa,0,0
621,Oglabr,Ctrifa,0,0
622,Opustu,Ctrifa,0,0
623,Oherba,Ctrifa,0,0
624,Evenus,Ctrifa,0,0
625,Onorve,Ctrifa,0,0
626,Ephyli,Ctrifa,0,0
627,Ospeit,Ctrifa,0,0
628,Obella,Ctrifa,0,0
629,Hpruss,Ctrifa,0,0
630,Odolic,Ctrifa,0,0
631,Hspira,Ctrifa,0,0
632,Elanat,Ctrifa,0,0
633,Omyrti,Ctrifa,0,0
634,Hnudip,Ctrifa,0,0
635,Hleuco,Ctrifa,0,0
636,Hacuti,Ctrifa,0,0
637,Hplicl,Ctrifa,0,0
638,Etesta,Ctrifa,0,0
639,Hplicd,Ctrifa,0,0
640,Edaphn,Ctrifa,0,0
641,Hpolit,Ctrifa,0,0
642,Epurpu,Ctrifa,0,0
643,Eatraa,Ctrifa,0,0
644,Eangus,Ctrifa,0,0
645,Hangli,Ctrifa,0,0
646,Hleuca,Ctrifa,0,0
647,Hoblit,Ctrifa,0,0
648,Heryth,Ctrifa,0,0
649,Halien,Ctrifa,0,0
650,Hsglab,Ctrifa,0,0
651,Htuber,Ctrifa,0,0
652,Eweiff,Ctrifa,0,0
653,Esubge,Ctrifa,0,0
654,Egemmc,Ctrifa,0,0
655,Eaurit,Ctrifa,0,0
656,Ospset,Ctrifa,0,0
657,Emyrti,Ctrifa,0,0
658,Esmyrt,Ctrifa,0,0
659,Esmyrs,Ctrifa,0,0
660,Eciner,Ctrifa,0,0
661,Eappen,Ctrifa,0,0
662,Hpscho,Ctrifa,0,0
663,Hplicp,Ctrifa,0,0
664,Hscapr,Ctrifa,0,0
665,Hanoma,Ctrifa,0,0
666,Oaacut,Ctrifa,0,0
667,Hpurpu,Ctrifa,0,0
668,Opolar,Ctrifa,0,0
669,Opprox,Ctrifa,0,0
670,Hspecc,Ctrifa,0,0
671,Hsglau,Ctrifa,0,0
672,Hslana,Ctrifa,0,0
673,Oelaea,Dwestw,0,0
674,Obridg,Dwestw,0,0
675,Ovaria,Dwestw,1,0
676,Oobscu,Dwestw,0,0
677,Okriec,Dwestw,0,0
678,Onigri,Dwestw,1,0
679,Ofoeti,Dwestw,1,1
680,Ohasta,Dwestw,0,0
681,Oadaph,Dwestw,0,0
682,Ohelve,Dwestw,0,0
683,Onival,Dwestw,0,0
684,Ovimin,Dwestw,0,0
685,Oproxi,Dwestw,0,0
686,Ocolla,Dwestw,0,0
687,Osamol,Dwestw,0,0
688,Omyrsi,Dwestw,0,0
689,Oarcti,Dwestw,0,0
690,Eboreo,Dwestw,0,0
691,Oglauc,Dwestw,0,0
692,Elappo,Dwestw,0,0
693,Elappc,Dwestw,0,0
694,Olappo,Dwestw,0,0
695,Olappl,Dwestw,0,0
696,Emyrsi,Dwestw,1,0
697,Ogalla,Dwestw,0,0
698,Hischn,Dwestw,0,0
699,Ehasta,Dwestw,1,0
700,Egemmf,Dwestw,1,0
701,Omonti,Dwestw,1,0
702,Eelaea,Dwestw,0,0
703,Hcarin,Dwestw,0,0
704,Egemmh,Dwestw,0,0
705,Hplicg,Dwestw,0,0
706,Omacul,Dwestw,0,0
707,Hspirh,Dwestw,0,0
708,Obrevi,Dwestw,0,0
709,Oretic,Dwestw,0,0
710,Oretus,Dwestw,0,0
711,Enigri,Dwestw,0,0
712,Emucro,Dwestw,0,0
713,Ovesic,Dwestw,0,0
714,Oviril,Dwestw,0,0
715,Opedun,Dwestw,0,0
716,Otrian,Dwestw,0,0
717,Oglabr,Dwestw,0,0
718,Opustu,Dwestw,0,0
719,Oherba,Dwestw,0,0
720,Evenus,Dwestw,0,0
721,Onorve,Dwestw,0,0
722,Ephyli,Dwestw,0,0
723,Ospeit,Dwestw,0,0
724,Obella,Dwestw,0,0
725,Hpruss,Dwestw,0,0
726,Odolic,Dwestw,0,0
727,Hspira,Dwestw,0,0
728,Elanat,Dwestw,0,0
729,Omyrti,Dwestw,0,0
730,Hnudip,Dwestw,0,0
731,Hleuco,Dwestw,0,0
732,Hacuti,Dwestw,0,0
733,Hplicl,Dwestw,0,0
734,Etesta,Dwestw,0,0
735,Hplicd,Dwestw,0,0
736,Edaphn,Dwestw,0,0
737,Hpolit,Dwestw,0,0
738,Epurpu,Dwestw,0,0
739,Eatraa,Dwestw,0,0
740,Eangus,Dwestw,0,0
741,Hangli,Dwestw,0,0
742,Hleuca,Dwestw,0,0
743,Hoblit,Dwestw,0,0
744,Heryth,Dwestw,0,0
745,Halien,Dwestw,0,0
746,Hsglab,Dwestw,0,0
747,Htuber,Dwestw,0,0
748,Eweiff,Dwestw,0,0
749,Esubge,Dwestw,0,0
750,Egemmc,Dwestw,0,0
751,Eaurit,Dwestw,0,0
752,Ospset,Dwestw,0,0
753,Emyrti,Dwestw,0,0
754,Esmyrt,Dwestw,0,0
755,Esmyrs,Dwestw,0,0
756,Eciner,Dwestw,0,0
757,Eappen,Dwestw,0,0
758,Hpscho,Dwestw,0,0
759,Hplicp,Dwestw,0,0
760,Hscapr,Dwestw,0,0
761,Hanoma,Dwestw,0,0
762,Oaacut,Dwestw,0,0
763,Hpurpu,Dwestw,0,0
